model_name,target_batch_size,layer_index,layer_name,conv_type_basic,layer_type_for_experiment,input_shape,output_shape,N,Cin,Cout,Hin,Win,Hout,Wout,Kh,Kw,stride_h,stride_w,padding_h,padding_w,dilation_h,dilation_w,groups,weight_elements,input_elements,output_elements,theoretical_FLOPs,theoretical_memory_bytes,theoretical_OI_FLOPs_per_byte,ridge_point_used,roofline_class_theoretical,notes
efficientnet_b7,8,0,features.0.0,standard,standard,"(8, 3, 224, 224)","(8, 64, 112, 112)",8,3,64,224,224,112,112,3,3,2,2,1,1,1,1,1,1728,1204224,6422528,346816512,30513920,11.3658458828,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,1,features.1.0.block.0.0,depthwise,depthwise,"(8, 64, 112, 112)","(8, 64, 112, 112)",8,64,64,112,112,112,112,3,3,1,1,1,1,1,1,64,576,6422528,6422528,115605504,51382528,2.2498991097,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,2,features.1.0.block.1.fc1,pointwise,pointwise_project,"(8, 64, 1, 1)","(8, 16, 1, 1)",8,64,16,1,1,1,1,1,1,1,1,0,0,1,1,1,1024,512,128,16384,6656,2.4615384615,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,3,features.1.0.block.1.fc2,pointwise,pointwise_expand,"(8, 16, 1, 1)","(8, 64, 1, 1)",8,16,64,1,1,1,1,1,1,1,1,0,0,1,1,1,1024,128,512,16384,6656,2.4615384615,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,4,features.1.0.block.2.0,pointwise,pointwise_project,"(8, 64, 112, 112)","(8, 32, 112, 112)",8,64,32,112,112,112,112,1,1,1,1,0,0,1,1,1,2048,6422528,3211264,411041792,38543360,10.6643995749,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,5,features.1.1.block.0.0,depthwise,depthwise,"(8, 32, 112, 112)","(8, 32, 112, 112)",8,32,32,112,112,112,112,3,3,1,1,1,1,1,1,32,288,3211264,3211264,57802752,25691264,2.2498991097,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,6,features.1.1.block.1.fc1,pointwise,pointwise_project,"(8, 32, 1, 1)","(8, 8, 1, 1)",8,32,8,1,1,1,1,1,1,1,1,0,0,1,1,1,256,256,64,4096,2304,1.7777777778,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,7,features.1.1.block.1.fc2,pointwise,pointwise_expand,"(8, 8, 1, 1)","(8, 32, 1, 1)",8,8,32,1,1,1,1,1,1,1,1,0,0,1,1,1,256,64,256,4096,2304,1.7777777778,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,8,features.1.1.block.2.0,pointwise,pointwise_unknown,"(8, 32, 112, 112)","(8, 32, 112, 112)",8,32,32,112,112,112,112,1,1,1,1,0,0,1,1,1,1024,3211264,3211264,205520896,25694208,7.9987246931,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,9,features.1.2.block.0.0,depthwise,depthwise,"(8, 32, 112, 112)","(8, 32, 112, 112)",8,32,32,112,112,112,112,3,3,1,1,1,1,1,1,32,288,3211264,3211264,57802752,25691264,2.2498991097,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,10,features.1.2.block.1.fc1,pointwise,pointwise_project,"(8, 32, 1, 1)","(8, 8, 1, 1)",8,32,8,1,1,1,1,1,1,1,1,0,0,1,1,1,256,256,64,4096,2304,1.7777777778,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,11,features.1.2.block.1.fc2,pointwise,pointwise_expand,"(8, 8, 1, 1)","(8, 32, 1, 1)",8,8,32,1,1,1,1,1,1,1,1,0,0,1,1,1,256,64,256,4096,2304,1.7777777778,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,12,features.1.2.block.2.0,pointwise,pointwise_unknown,"(8, 32, 112, 112)","(8, 32, 112, 112)",8,32,32,112,112,112,112,1,1,1,1,0,0,1,1,1,1024,3211264,3211264,205520896,25694208,7.9987246931,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,13,features.1.3.block.0.0,depthwise,depthwise,"(8, 32, 112, 112)","(8, 32, 112, 112)",8,32,32,112,112,112,112,3,3,1,1,1,1,1,1,32,288,3211264,3211264,57802752,25691264,2.2498991097,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,14,features.1.3.block.1.fc1,pointwise,pointwise_project,"(8, 32, 1, 1)","(8, 8, 1, 1)",8,32,8,1,1,1,1,1,1,1,1,0,0,1,1,1,256,256,64,4096,2304,1.7777777778,32.3700000000,memory_bound,shape_source=forward_hook
efficientnet_b7,8,15,features.1.3.block.1.fc2,pointwise,pointwise_expand,"(8, 8, 1, 1)","(8, 32, 1, 1)",8,8,32,1,1,1,1,1,1,1,1,0,0,1,1,1,256,64,256,4096,2304,1.7777777778,32.3700000000,memory_bound,shape_source=forward_hook
