model_name,target_batch_size,layer_index,layer_name,conv_type_basic,layer_type_for_experiment,input_shape,output_shape,N,Cin,Cout,Hin,Win,Hout,Wout,Kh,Kw,stride_h,stride_w,padding_h,padding_w,dilation_h,dilation_w,groups,weight_elements,input_elements,output_elements,theoretical_FLOPs,theoretical_memory_bytes,theoretical_OI_FLOPs_per_byte,ridge_point_used,roofline_class_theoretical,notes
resnet18,8,0,conv1,standard,standard,"(8, 3, 224, 224)","(8, 64, 112, 112)",8,3,64,224,224,112,112,7,7,2,2,3,3,1,1,1,9408,1204224,6422528,1888223232,30544640,61.8184804928,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,1,layer1.0.conv1,standard,standard,"(8, 64, 56, 56)","(8, 64, 56, 56)",8,64,64,56,56,56,56,3,3,1,1,1,1,1,1,1,36864,1605632,1605632,1849688064,12992512,142.3656998739,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,2,layer1.0.conv2,standard,standard,"(8, 64, 56, 56)","(8, 64, 56, 56)",8,64,64,56,56,56,56,3,3,1,1,1,1,1,1,1,36864,1605632,1605632,1849688064,12992512,142.3656998739,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,3,layer1.1.conv1,standard,standard,"(8, 64, 56, 56)","(8, 64, 56, 56)",8,64,64,56,56,56,56,3,3,1,1,1,1,1,1,1,36864,1605632,1605632,1849688064,12992512,142.3656998739,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,4,layer1.1.conv2,standard,standard,"(8, 64, 56, 56)","(8, 64, 56, 56)",8,64,64,56,56,56,56,3,3,1,1,1,1,1,1,1,36864,1605632,1605632,1849688064,12992512,142.3656998739,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,5,layer2.0.conv1,standard,standard,"(8, 64, 56, 56)","(8, 128, 28, 28)",8,64,128,56,56,28,28,3,3,2,2,1,1,1,1,1,73728,1605632,802816,924844032,9928704,93.1485148515,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,6,layer2.0.conv2,standard,standard,"(8, 128, 28, 28)","(8, 128, 28, 28)",8,128,128,28,28,28,28,3,3,1,1,1,1,1,1,1,147456,802816,802816,1849688064,7012352,263.7757009346,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,7,layer2.0.downsample.0,pointwise,pointwise_expand,"(8, 64, 56, 56)","(8, 128, 28, 28)",8,64,128,56,56,28,28,1,1,2,2,0,0,1,1,1,8192,1605632,802816,102760448,9666560,10.6305084746,32.3700000000,memory_bound,shape_source=forward_hook
resnet18,8,8,layer2.1.conv1,standard,standard,"(8, 128, 28, 28)","(8, 128, 28, 28)",8,128,128,28,28,28,28,3,3,1,1,1,1,1,1,1,147456,802816,802816,1849688064,7012352,263.7757009346,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,9,layer2.1.conv2,standard,standard,"(8, 128, 28, 28)","(8, 128, 28, 28)",8,128,128,28,28,28,28,3,3,1,1,1,1,1,1,1,147456,802816,802816,1849688064,7012352,263.7757009346,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,10,layer3.0.conv1,standard,standard,"(8, 128, 28, 28)","(8, 256, 14, 14)",8,128,256,28,28,14,14,3,3,2,2,1,1,1,1,1,294912,802816,401408,924844032,5996544,154.2295081967,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,11,layer3.0.conv2,standard,standard,"(8, 256, 14, 14)","(8, 256, 14, 14)",8,256,256,14,14,14,14,3,3,1,1,1,1,1,1,1,589824,401408,401408,1849688064,5570560,332.0470588235,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,12,layer3.0.downsample.0,pointwise,pointwise_expand,"(8, 128, 28, 28)","(8, 256, 14, 14)",8,128,256,28,28,14,14,1,1,2,2,0,0,1,1,1,32768,802816,401408,102760448,4947968,20.7682119205,32.3700000000,memory_bound,shape_source=forward_hook
resnet18,8,13,layer3.1.conv1,standard,standard,"(8, 256, 14, 14)","(8, 256, 14, 14)",8,256,256,14,14,14,14,3,3,1,1,1,1,1,1,1,589824,401408,401408,1849688064,5570560,332.0470588235,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,14,layer3.1.conv2,standard,standard,"(8, 256, 14, 14)","(8, 256, 14, 14)",8,256,256,14,14,14,14,3,3,1,1,1,1,1,1,1,589824,401408,401408,1849688064,5570560,332.0470588235,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,15,layer4.0.conv1,standard,standard,"(8, 256, 14, 14)","(8, 512, 7, 7)",8,256,512,14,14,7,7,3,3,2,2,1,1,1,1,1,1179648,401408,200704,924844032,7127040,129.7655172414,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,16,layer4.0.conv2,standard,standard,"(8, 512, 7, 7)","(8, 512, 7, 7)",8,512,512,7,7,7,7,3,3,1,1,1,1,1,1,1,2359296,200704,200704,1849688064,11042816,167.5014836795,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,17,layer4.0.downsample.0,pointwise,pointwise_expand,"(8, 256, 14, 14)","(8, 512, 7, 7)",8,256,512,14,14,7,7,1,1,2,2,0,0,1,1,1,131072,401408,200704,102760448,2932736,35.0391061453,32.3700000000,transition,shape_source=forward_hook
resnet18,8,18,layer4.1.conv1,standard,standard,"(8, 512, 7, 7)","(8, 512, 7, 7)",8,512,512,7,7,7,7,3,3,1,1,1,1,1,1,1,2359296,200704,200704,1849688064,11042816,167.5014836795,32.3700000000,compute_bound,shape_source=forward_hook
resnet18,8,19,layer4.1.conv2,standard,standard,"(8, 512, 7, 7)","(8, 512, 7, 7)",8,512,512,7,7,7,7,3,3,1,1,1,1,1,1,1,2359296,200704,200704,1849688064,11042816,167.5014836795,32.3700000000,compute_bound,shape_source=forward_hook
